id	type	woeId	label	wikiId	longitude	latitude	population	stateLabel	stateId	countryLabel	countryId	parentId
e508c307	CountyAdminArea	12588822	Grant County, Minnesota	Grant_County,_Minnesota	-96.01251	45.93401	5972	Minnesota	11f1fa88	United States	f4aa12bb	11f1fa88
d7ee5ee3	CountyAdminArea	12589175	Grant County, Nebraska	Grant_County,_Nebraska	-101.74696	41.91915	623	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
b9d6f437	CountyAdminArea	12589288	Grant County, New Mexico	Grant_County,_New_Mexico	-108.32811	32.53644	26998	New Mexico	5c684afa	United States	f4aa12bb	5c684afa
1ec1fe14	CountyAdminArea	12589492	Grant County, North Dakota	Grant_County,_North_Dakota	-101.56005	46.36237	2274	North Dakota	ba23d922	United States	f4aa12bb	ba23d922
94dbeed3	CountyAdminArea	12589641	Grant County, Oklahoma	Grant_County,_Oklahoma	-97.78664	36.79606	4333	Oklahoma	ca8120a2	United States	f4aa12bb	ca8120a2
0b6c2059	CountyAdminArea	12589703	Grant County, Oregon	Grant_County,_Oregon	-118.948	44.47845	7199	Oregon	e6c9dd69	United States	f4aa12bb	e6c9dd69
ff21e021	CountyAdminArea	12589870	Grant County, South Dakota	Grant_County,_South_Dakota	-96.83915	45.15151	7052	South Dakota	d3a484f3	United States	f4aa12bb	d3a484f3
ef79a4da	CountyAdminArea	12590452	Grant County, Washington	Grant_County,_Washington	-119.50827	47.29373	97733	Washington	4211c98d	United States	f4aa12bb	4211c98d
19cf0e5e	CountyAdminArea	12590490	Grant County, West Virginia	Grant_County,_West_Virginia	-79.23333	39.07057	11568	West Virginia	b0ff8d4f	United States	f4aa12bb	b0ff8d4f
9d24c599	CountyAdminArea	12590555	Grant County, Wisconsin	Grant_County,_Wisconsin	-90.79025	42.85933	51439	Wisconsin	a5a6fe10	United States	f4aa12bb	a5a6fe10
a26ff212	CountyAdminArea	12588617	Grant Parish, Louisiana	Grant_Parish,_Louisiana	-92.58529	31.59252	22389	Louisiana	d8434284	United States	f4aa12bb	d8434284
